,edad,clase_trabajo,peso_final,educacion,num_educacion,estado_civil,ocupacion,relacion,raza,ganancia_capital,perdida_capital,horas_por_semana,pais,sexo,salario
0,50,6,83311,10,13,3,4,1,5,0,0,13,39,True,False
1,38,4,215646,12,9,1,6,2,5,0,0,40,39,True,False
2,53,4,234721,2,7,3,6,1,3,0,0,40,39,True,False
3,28,4,338409,10,13,3,10,6,3,0,0,40,5,False,False
4,37,4,284582,13,14,3,4,6,5,0,0,40,39,False,False
5,49,4,160187,7,5,4,8,2,3,0,0,16,23,False,False
6,52,6,209642,12,9,3,4,1,5,0,0,45,39,True,True
7,31,4,45781,13,14,5,10,2,5,14084,0,50,39,False,True
8,42,4,159449,10,13,3,4,1,5,5178,0,40,39,True,True
9,37,4,280464,16,10,3,4,1,3,0,0,80,39,True,True
10,30,7,141297,10,13,3,10,1,2,0,0,40,19,True,True
11,23,4,122272,10,13,5,1,4,5,0,0,30,39,False,False
12,32,4,205019,8,12,5,12,2,3,0,0,50,39,True,False
13,40,4,121772,9,11,3,3,1,2,0,0,40,39,True,True
14,34,4,245487,6,4,3,14,1,1,0,0,45,26,True,False
15,25,6,176756,12,9,5,5,4,5,0,0,35,39,True,False
16,32,4,186824,12,9,5,7,5,5,0,0,40,39,True,False
17,38,4,28887,2,7,3,12,1,5,0,0,50,39,True,False
18,43,6,292175,13,14,1,4,5,5,0,0,45,39,False,True
19,40,4,193524,11,16,3,10,1,5,0,0,60,39,True,True
20,54,4,302146,12,9,6,8,5,3,0,0,20,39,False,False
21,35,1,76845,7,5,3,5,1,3,0,0,40,39,True,False
22,43,4,117037,2,7,3,14,1,5,0,2042,40,39,True,False
23,59,4,109015,12,9,1,13,5,5,0,0,40,39,False,False
24,56,2,216851,10,13,3,13,1,5,0,0,40,39,True,True
25,19,4,168294,12,9,5,3,4,5,0,0,40,39,True,False
26,54,4,180211,16,10,3,1,1,2,0,0,60,35,True,True
27,39,4,367260,12,9,1,4,2,5,0,0,80,39,True,False
28,49,4,193366,12,9,3,3,1,5,0,0,40,39,True,False
29,23,2,190709,8,12,5,11,2,5,0,0,52,39,True,False
30,20,4,266015,16,10,5,12,4,3,0,0,44,39,True,False
31,45,4,386940,10,13,1,4,4,5,0,1408,40,39,True,False
32,30,1,59951,16,10,3,1,4,5,0,0,40,39,True,False
33,22,7,311512,16,10,3,8,1,3,0,0,15,39,True,False
34,48,4,242406,2,7,5,7,5,5,0,0,40,33,True,False
35,21,4,197200,16,10,5,7,4,5,0,0,40,39,True,False
36,19,4,544091,12,9,2,1,6,5,0,0,25,39,False,False
37,31,4,84154,16,10,3,12,1,5,0,0,38,39,True,True
38,48,6,265477,8,12,3,10,1,5,0,0,40,39,True,False
39,31,4,507875,7,5,3,7,1,5,0,0,43,39,True,False
40,53,6,88506,10,13,3,10,1,5,0,0,40,39,True,False
41,24,4,172987,10,13,3,13,1,5,0,0,50,39,True,False
42,49,4,94638,12,9,6,1,5,5,0,0,40,39,False,False
43,25,4,289980,12,9,5,6,2,5,0,0,35,39,True,False
44,57,1,337895,10,13,3,10,1,3,0,0,40,39,True,True
45,53,4,144361,12,9,3,7,1,5,0,0,38,39,True,False
46,44,4,128354,13,14,1,4,5,5,0,0,40,39,False,False
47,41,7,101603,9,11,3,3,1,5,0,0,40,39,True,False
48,29,4,271466,9,11,5,10,2,5,0,0,43,39,True,False
49,25,4,32275,16,10,3,4,6,4,0,0,40,39,False,False
50,18,4,226956,12,9,5,8,4,5,0,0,30,39,False,False
51,47,4,51835,15,15,3,10,6,5,0,1902,60,16,False,True
52,50,1,251585,10,13,1,4,2,5,0,0,55,39,True,True
53,47,5,109832,12,9,1,4,2,5,0,0,60,39,True,False
54,43,4,237993,16,10,3,13,1,5,0,0,40,39,True,True
55,46,4,216666,5,3,3,7,1,5,0,0,40,26,True,False
56,35,4,56352,9,11,3,8,1,5,0,0,40,33,True,False
57,41,4,147372,12,9,3,1,1,5,0,0,48,39,True,False
58,30,4,188146,12,9,3,7,1,5,5013,0,40,39,True,False
59,30,4,59496,10,13,3,12,1,5,2407,0,40,39,True,False
60,32,4,293936,6,4,4,3,2,5,0,0,40,39,True,False
61,48,4,149640,12,9,3,14,1,5,0,0,40,39,True,False
62,42,4,116632,11,16,3,10,1,5,0,0,45,39,True,True
63,29,4,105598,16,10,1,13,2,5,0,0,58,39,True,False
64,36,4,155537,12,9,3,3,1,5,0,0,40,39,True,False
65,28,4,183175,16,10,1,1,2,5,0,0,40,39,False,False
66,53,4,169846,12,9,3,1,6,5,0,0,40,39,False,True
67,49,5,191681,16,10,3,4,1,5,0,0,50,39,True,True
68,25,4,200681,16,10,5,1,4,5,0,0,40,39,True,False
69,19,4,101509,16,10,5,10,4,5,0,0,32,39,True,False
70,31,4,309974,10,13,6,12,4,3,0,0,40,39,False,False
71,29,6,162298,10,13,3,12,1,5,0,0,70,39,True,True
72,23,4,211678,16,10,5,7,2,5,0,0,40,39,True,False
73,79,4,124744,16,10,3,10,3,5,0,0,20,39,True,False
74,27,4,213921,12,9,5,8,4,5,0,0,40,26,True,False
75,40,4,32214,8,12,3,1,1,5,0,0,40,39,True,False
76,67,4,212759,1,6,3,8,1,5,0,0,2,39,True,False
77,18,4,309634,2,7,5,8,4,5,0,0,22,39,False,False
78,31,2,125927,6,4,3,5,1,5,0,0,40,39,True,False
79,18,4,446839,12,9,5,12,2,5,0,0,30,39,True,False
